S_Yr S_Mon S_Day S_Hr S_Min S_Sec E_Yr E_Mon E_Day E_Hr E_Min E_Sec Type Inst
2011 09 01 05 04  9.0  2011 09 01 05 28 16.0  BSI m 
2011 09 01 17 43 47.0  2011 09 01 17 45  3.0  BSI m 
2011 09 02 05 43 58.0  2011 09 02 05 54  7.0  BSI m 
2011 09 02 17 16 13.0  2011 09 02 17 33 12.0  BSI m 
2011 09 03 05 13  8.0  2011 09 03 05 27 24.0  BSI m 
2011 09 03 18 04 18.0  2011 09 03 18 37 20.0  BSI m 
2011 09 04 05 19 56.0  2011 09 04 05 40 56.0  BSI m 
2011 09 04 17 30 31.0  2011 09 04 17 33 51.0  BSI m 
2011 09 05 05 24 42.0  2011 09 05 06 09  0.0  BSI m 
2011 09 05 17 08 24.0  2011 09 05 17 53 54.0  BSI m 
2011 09 06 06 01 49.0  2011 09 06 06 08 19.0  BSI m 
2011 09 06 18 04 57.0  2011 09 06 18 24 50.0  BSI m 
2011 09 07 06 24 39.0  2011 09 07 06 24 39.0  BSI s 
2011 09 07 18 59  8.0  2011 09 07 19 08 45.0  BSI m 
2011 09 08 07 00 42.0  2011 09 08 07 00 42.0  BSI s 
2011 09 08 18 24 40.0  2011 09 08 18 41 48.0  BSI m 
2011 09 09 05 56 36.0  2011 09 09 06 19 43.0  BSI m 
2011 09 09 18 33 39.0  2011 09 09 19 02 41.0  BSI m 
2011 09 10 06 13 49.0  2011 09 10 06 19 47.0  BSI m 
2011 09 10 18 19 56.0  2011 09 10 18 36 30.0  BSI m 
2011 09 11 06 10 34.0  2011 09 11 06 12 39.0  BSI m 
2011 09 11 17 59 55.0  2011 09 11 18 09 17.0  BSI m 
2011 09 12 05 42 57.0  2011 09 12 05 42 57.0  BSI s 
2011 09 12 17 50 22.0  2011 09 12 17 50 22.0  BSI s 
2011 09 13 05 43 21.0  2011 09 13 05 43 43.0  BSI m 
2011 09 13 17 26 32.0  2011 09 13 17 27 55.0  BSI m 
2011 09 14 05 16 58.0  2011 09 14 05 18 29.0  BSI m 
2011 09 14 17 05 26.0  2011 09 14 17 06 11.0  BSI m 
2011 09 15 04 51 10.0  2011 09 15 04 52 55.0  BSI m 
2011 09 15 16 27  8.0  2011 09 15 16 29 48.0  BSI m 
2011 09 16 04 13 15.0  2011 09 16 04 16  1.0  BSI m 
2011 09 16 16 04 15.0  2011 09 16 16 04 46.0  BSI m 
2011 09 17 03 51 43.0  2011 09 17 03 53 40.0  BSI m 
2011 09 17 15 29 49.0  2011 09 17 15 35 36.0  BSI m 
2011 09 18 03 23 51.0  2011 09 18 03 27 51.0  BSI m 
2011 09 18 15 20 55.0  2011 09 18 15 20 55.0  BSI s 
2011 09 19 03 01 16.0  2011 09 19 03 01 16.0  BSI s 
2011 09 19 14 50 44.0  2011 09 19 14 50 44.0  BSI s 
2011 09 20 02 35 11.0  2011 09 20 02 36 44.0  BSI m 
2011 09 20 14 19 20.0  2011 09 20 14 19 40.0  BSI m 
2011 09 21 02 09  8.0  2011 09 21 02 10 18.0  BSI m 
2011 09 21 13 52  8.0  2011 09 21 13 52  8.0  BSI s 
2011 09 22 01 34 56.0  2011 09 22 01 35 47.0  BSI m 
2011 09 22 13 34 24.0  2011 09 22 13 34 55.0  BSI m 
2011 09 23 01 00 50.0  2011 09 23 01 03  8.0  BSI m 
2011 09 23 12 52  4.0  2011 09 23 12 56 11.0  BSI m 
2011 09 24 00 38 54.0  2011 09 24 00 39 48.0  BSI m 
2011 09 24 12 24 40.0  2011 09 24 12 25 24.0  BSI m 
2011 09 25 00 11  0.0  2011 09 25 00 11  0.0  BSI s 
2011 09 25 11 52 19.0  2011 09 25 11 52 29.0  BSI m 
2011 09 25 23 42 38.0  2011 09 25 23 43 20.0  BSI m 
2011 09 26 11 23 18.0  2011 09 26 11 25 56.0  BSI m 
2011 09 26 23 11 46.0  2011 09 26 23 13 55.0  BSI m 
2011 09 27 11 00  0.0  2011 09 27 11 01 19.0  BSI m 
2011 09 27 22 43 34.0  2011 09 27 22 43 34.0  BSI s 
2011 09 28 10 31 42.0  2011 09 28 10 32 36.0  BSI m 
2011 09 28 22 15 46.0  2011 09 28 22 17 34.0  BSI m 
2011 09 29 10 03 21.0  2011 09 29 10 05  7.0  BSI m 
2011 09 29 21 51  0.0  2011 09 29 21 51  0.0  BSI s 
2011 09 30 09 37 50.0  2011 09 30 09 37 50.0  BSI s 
2011 09 30 21 19 27.0  2011 09 30 21 21 35.0  BSI m 
2011 10 01 09 08 22.0  2011 10 01 09 09  9.0  BSI m 
2011 10 01 20 49 23.0  2011 10 01 20 49 23.0  BSI s 
2011 10 02 08 31 28.0  2011 10 02 08 33 49.0  BSI m 
2011 10 02 20 14 51.0  2011 10 02 20 27  5.0  BSI m 
2011 10 03 08 09  7.0  2011 10 03 08 11  9.0  BSI m 
2011 10 03 19 49  4.0  2011 10 03 19 50  8.0  BSI m 
2011 10 04 07 37  2.0  2011 10 04 07 38 38.0  BSI m 
2011 10 04 19 20 34.0  2011 10 04 19 20 34.0  BSI s 
2011 10 05 07 20 14.0  2011 10 05 07 21 37.0  BSI m 
2011 10 05 19 06 28.0  2011 10 05 19 06 28.0  BSI s 
2011 10 06 06 42 26.0  2011 10 06 06 42 26.0  BSI s 
2011 10 06 18 07  9.0  2011 10 06 18 17 54.0  BSI m 
2011 10 07 05 52 27.0  2011 10 07 05 52 27.0  BSI s 
2011 10 07 17 38 21.0  2011 10 07 17 44 52.0  BSI m 
2011 10 08 05 27  6.0  2011 10 08 05 27  6.0  BSI s 
2011 10 08 17 19 52.0  2011 10 08 17 21 52.0  BSI m 
2011 10 09 05 12 14.0  2011 10 09 05 22 35.0  BSI m 
